ACTION START 1200 0 START
ACTION QUERY 1200 10 modern piracy
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 154480
ACTION DOC 1200 35 EXAMINING_DOCUMENT 154480
ACTION SNIPPET 1200 35 SNIPPET_RELEVANT 1355523
ACTION DOC 1200 55 EXAMINING_DOCUMENT 1355523
ACTION SNIPPET 1200 55 SNIPPET_RELEVANT 1785315
ACTION DOC 1200 75 EXAMINING_DOCUMENT 1785315
ACTION SNIPPET 1200 75 SNIPPET_RELEVANT 1229635
ACTION DOC 1200 95 EXAMINING_DOCUMENT 1229635
ACTION MARK 1200 98 CONSIDERED_RELEVANT 1229635
ACTION SNIPPET 1200 98 SNIPPET_RELEVANT 1683219
ACTION DOC 1200 118 EXAMINING_DOCUMENT 1683219
ACTION SNIPPET 1200 118 SNIPPET_RELEVANT 941274
ACTION DOC 1200 138 EXAMINING_DOCUMENT 941274
ACTION QUERY 1200 148 piracy incidents
ACTION SERP 1200 153 EXAMINE_SERP
ACTION SNIPPET 1200 153 SNIPPET_RELEVANT 1722166
ACTION DOC 1200 173 EXAMINING_DOCUMENT 1722166
ACTION MARK 1200 176 CONSIDERED_RELEVANT 1722166
ACTION SNIPPET 1200 176 SNIPPET_RELEVANT 1405091
ACTION DOC 1200 196 EXAMINING_DOCUMENT 1405091
ACTION SNIPPET 1200 196 SNIPPET_RELEVANT 1651936
ACTION DOC 1200 216 EXAMINING_DOCUMENT 1651936
ACTION MARK 1200 219 CONSIDERED_RELEVANT 1651936
ACTION SNIPPET 1200 219 SNIPPET_RELEVANT 924343
ACTION DOC 1200 239 EXAMINING_DOCUMENT 924343
ACTION MARK 1200 242 CONSIDERED_RELEVANT 924343
ACTION SNIPPET 1200 242 SNIPPET_RELEVANT 1717015
ACTION DOC 1200 262 EXAMINING_DOCUMENT 1717015
ACTION MARK 1200 265 CONSIDERED_RELEVANT 1717015
ACTION SNIPPET 1200 265 SNIPPET_RELEVANT 1542461
ACTION DOC 1200 285 EXAMINING_DOCUMENT 1542461
ACTION QUERY 1200 295 maritime piracy
ACTION SERP 1200 300 EXAMINE_SERP
ACTION SNIPPET 1200 300 SEEN_PREVIOUSLY 1722166
ACTION SNIPPET 1200 300 SEEN_PREVIOUSLY 924343
ACTION SNIPPET 1200 300 SEEN_PREVIOUSLY 1651936
ACTION SNIPPET 1200 300 SNIPPET_RELEVANT 1697161
ACTION DOC 1200 320 EXAMINING_DOCUMENT 1697161
ACTION MARK 1200 323 CONSIDERED_RELEVANT 1697161
ACTION SNIPPET 1200 323 SNIPPET_RELEVANT 1512074
ACTION DOC 1200 343 EXAMINING_DOCUMENT 1512074
ACTION MARK 1200 346 CONSIDERED_RELEVANT 1512074
ACTION SNIPPET 1200 346 SNIPPET_RELEVANT 1573004
ACTION DOC 1200 366 EXAMINING_DOCUMENT 1573004
ACTION MARK 1200 369 CONSIDERED_RELEVANT 1573004
ACTION SNIPPET 1200 369 SNIPPET_RELEVANT 1433049
ACTION DOC 1200 389 EXAMINING_DOCUMENT 1433049
ACTION SNIPPET 1200 389 SNIPPET_RELEVANT 1475759
ACTION DOC 1200 409 EXAMINING_DOCUMENT 1475759
ACTION MARK 1200 412 CONSIDERED_RELEVANT 1475759
ACTION SNIPPET 1200 412 SNIPPET_RELEVANT 914175
ACTION DOC 1200 432 EXAMINING_DOCUMENT 914175
ACTION QUERY 1200 442 ship hijacking
ACTION SERP 1200 447 EXAMINE_SERP
ACTION SNIPPET 1200 447 SNIPPET_RELEVANT 197240
ACTION DOC 1200 467 EXAMINING_DOCUMENT 197240
ACTION MARK 1200 470 CONSIDERED_RELEVANT 197240
ACTION SNIPPET 1200 470 SNIPPET_RELEVANT 110559
ACTION DOC 1200 490 EXAMINING_DOCUMENT 110559
ACTION MARK 1200 493 CONSIDERED_RELEVANT 110559
ACTION SNIPPET 1200 493 SNIPPET_RELEVANT 1704600
ACTION DOC 1200 513 EXAMINING_DOCUMENT 1704600
ACTION MARK 1200 516 CONSIDERED_RELEVANT 1704600
ACTION SNIPPET 1200 516 SNIPPET_RELEVANT 1709373
ACTION DOC 1200 536 EXAMINING_DOCUMENT 1709373
ACTION MARK 1200 539 CONSIDERED_RELEVANT 1709373
